id,imdb_id,season,episode,title,imdb_rating,num_votes,year,runtime,airdate,us_viewers
241,tt0781979,10,17,Maximum Homerdrive,7.7,2243,1999,30,1999-03-28,15.51
242,tt0781980,10,18,Simpsons Bible Stories,7.3,2185,1999,30,1999-04-04,12.86
243,tt0781980,10,18,Simpsons Bible Stories,7.3,2185,1999,30,1999-04-04,12.86
244,tt0781980,10,18,Simpsons Bible Stories,7.3,2185,1999,30,1999-04-04,12.86
245,tt0701180,10,19,Mom and Pop Art,7.6,2268,1999,30,1999-04-11,14.13
246,tt0701251,10,20,The Old Man and the 'C' Student,7.3,2011,1999,30,1999-04-25,11.16
247,tt0701181,10,21,Monty Can't Buy Me Love,7.1,2045,1999,30,1999-05-02,12.59
248,tt0701272,10,22,They Saved Lisa's Brain,7.3,2060,1999,30,1999-05-09,10.45
249,tt0701273,10,23,Thirty Minutes Over Tokyo,8.0,2479,1999,30,1999-05-16,12.51
250,tt0701069,11,1,Beyond Blunderdome,7.3,2301,1999,30,1999-09-26,12.93
251,tt0701075,11,2,Brother's Little Helper,7.5,2065,1999,30,1999-10-03,11.45
252,tt0701102,11,3,Guess Who's Coming to Criticize Dinner?,7.5,2095,1999,30,1999-10-24,10.73
253,tt0701283,11,4,Treehouse of Horror X,7.8,2469,1999,30,1999-10-31,13.83
254,tt0701283,11,4,Treehouse of Horror X,7.8,2469,1999,30,1999-10-31,13.83
255,tt0701283,11,4,Treehouse of Horror X,7.8,2469,1999,30,1999-10-31,13.83
256,tt0701092,11,5,E-I-E-I-(Annoyed Grunt),7.8,2267,1999,30,1999-11-07,14.35
257,tt0701105,11,6,"Hello Gutter, Hello Fadder",7.3,1929,1999,30,1999-11-14,14.68
258,tt0701093,11,7,Eight Misbehavin',7.0,1969,1999,30,1999-11-21,15.89
259,tt0701222,11,8,"Take My Wife, Sleaze",7.1,1996,1999,30,1999-11-28,15.28
260,tt0701101,11,9,Grift of the Magi,7.3,2117,1999,30,1999-12-19,12.48
261,tt0701166,11,10,Little Big Mom,7.3,1914,2000,30,2000-01-09,17.88
262,tt0701095,11,11,Faith Off,6.8,1936,2000,30,2000-01-16,19.16
263,tt0701250,11,12,The Mansion Family,7.3,1939,2000,30,2000-01-23,18.37
264,tt0701203,11,13,Saddlesore Galactica,6.5,2141,2000,30,2000-02-06,16.48
265,tt0701052,11,14,"Alone Again, Natura-Diddly",7.6,2664,2000,30,2000-02-13,18.37
266,tt0701177,11,15,Missionary: Impossible,7.3,2013,2000,30,2000-02-20,16.39
267,tt0767446,11,16,Pygmoelian,7.3,1909,2000,30,2000-02-27,16.51
268,tt0767439,11,17,Bart to the Future,7.2,2119,2000,30,2000-03-19,14.71
269,tt0767441,11,18,Days of Wine and D'oh'ses,7.4,1896,2000,30,2000-04-09,13.72
270,tt0701143,11,19,Kill the Alligator and Run,6.6,2076,2000,30,2000-04-30,12.87
271,tt0767444,11,20,Last Tap Dance in Springfield,7.1,1885,2000,30,2000-05-07,12.13
272,tt0701138,11,21,"It's a Mad, Mad, Mad, Mad Marge",7.1,1937,2000,30,2000-05-14,12.22
273,tt0701068,11,22,Behind the Laughter,7.9,2403,2000,30,2000-05-21,13.84
274,tt0763040,12,1,Treehouse of Horror XI,7.6,2321,2000,30,2000-11-01,13.23
275,tt0763040,12,1,Treehouse of Horror XI,7.6,2321,2000,30,2000-11-01,13.23
276,tt0763040,12,1,Treehouse of Horror XI,7.6,2321,2000,30,2000-11-01,13.23
277,tt0701049,12,2,A Tale of Two Springfields,7.4,2086,2000,30,2000-11-05,16.18
278,tt0701137,12,3,Insane Clown Poppy,6.9,1927,2000,30,2000-11-12,16.44
279,tt0701157,12,4,Lisa the Treehugger,7.1,1939,2000,30,2000-11-19,14.87
280,tt0763031,12,5,Homer vs. Dignity,7.0,2007,2000,30,2000-11-26,14.99
281,tt0701231,12,6,The Computer Wore Menace Shoes,7.7,2102,2000,30,2000-12-03,15.6
